HitId	WorkerId	AssignmentId	SentenceId	Offset	HighlightedText	Category	Text	EncodedTokens	TokenIdxs
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/D7F0F4464A7E15B47F838B9B1C47C582473C09C2	72	Blue	Eye color	 Name Bella Age 23 Height 5 ' 6 " Weight 120 Breast Size 34 C Eye Color Blue Hair Color Brown Name Golden Age 33 Height 5 ' 5 " Weight 125 Breast size 36 C Eye Color Hazel Hair Color Blond We love to have fun and no discrimination here . ( 910 ) 234 - 7445 . <a href="/more.php?article=142"> 	WyJOYW1lIiwgIkJlbGxhIiwgIkFnZSIsICIyMyIsICJIZWlnaHQiLCAiNSIsICInIiwgIjYiLCAiXCIiLCAiV2VpZ2h0IiwgIjEyMCIsICJCcmVhc3QiLCAiU2l6ZSIsICIzNCIsICJDIiwgIkV5ZSIsICJDb2xvciIsICJCbHVlIiwgIkhhaXIiLCAiQ29sb3IiLCAiQnJvd24iLCAiTmFtZSIsICJHb2xkZW4iLCAiQWdlIiwgIjMzIiwgIkhlaWdodCIsICI1IiwgIiciLCAiNSIsICJcIiIsICJXZWlnaHQiLCAiMTI1IiwgIkJyZWFzdCIsICJzaXplIiwgIjM2IiwgIkMiLCAiRXllIiwgIkNvbG9yIiwgIkhhemVsIiwgIkhhaXIiLCAiQ29sb3IiLCAiQmxvbmQiLCAiV2UiLCAibG92ZSIsICJ0byIsICJoYXZlIiwgImZ1biIsICJhbmQiLCAibm8iLCAiZGlzY3JpbWluYXRpb24iLCAiaGVyZSIsICIuIiwgIigiLCAiOTEwIiwgIikiLCAiMjM0IiwgIi0iLCAiNzQ0NSIsICIuIiwgIiZsdDthIGhyZWY9XCIvbW9yZS5waHA/YXJ0aWNsZT0xNDJcIiZndDsiXQ==	18
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/D7F0F4464A7E15B47F838B9B1C47C582473C09C2	88	Brown	Hair type	 Name Bella Age 23 Height 5 ' 6 " Weight 120 Breast Size 34 C Eye Color Blue Hair Color Brown Name Golden Age 33 Height 5 ' 5 " Weight 125 Breast size 36 C Eye Color Hazel Hair Color Blond We love to have fun and no discrimination here . ( 910 ) 234 - 7445 . <a href="/more.php?article=142"> 	WyJOYW1lIiwgIkJlbGxhIiwgIkFnZSIsICIyMyIsICJIZWlnaHQiLCAiNSIsICInIiwgIjYiLCAiXCIiLCAiV2VpZ2h0IiwgIjEyMCIsICJCcmVhc3QiLCAiU2l6ZSIsICIzNCIsICJDIiwgIkV5ZSIsICJDb2xvciIsICJCbHVlIiwgIkhhaXIiLCAiQ29sb3IiLCAiQnJvd24iLCAiTmFtZSIsICJHb2xkZW4iLCAiQWdlIiwgIjMzIiwgIkhlaWdodCIsICI1IiwgIiciLCAiNSIsICJcIiIsICJXZWlnaHQiLCAiMTI1IiwgIkJyZWFzdCIsICJzaXplIiwgIjM2IiwgIkMiLCAiRXllIiwgIkNvbG9yIiwgIkhhemVsIiwgIkhhaXIiLCAiQ29sb3IiLCAiQmxvbmQiLCAiV2UiLCAibG92ZSIsICJ0byIsICJoYXZlIiwgImZ1biIsICJhbmQiLCAibm8iLCAiZGlzY3JpbWluYXRpb24iLCAiaGVyZSIsICIuIiwgIigiLCAiOTEwIiwgIikiLCAiMjM0IiwgIi0iLCAiNzQ0NSIsICIuIiwgIiZsdDthIGhyZWY9XCIvbW9yZS5waHA/YXJ0aWNsZT0xNDJcIiZndDsiXQ==	21
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/D7F0F4464A7E15B47F838B9B1C47C582473C09C2	166	Hazel	Eye color	 Name Bella Age 23 Height 5 ' 6 " Weight 120 Breast Size 34 C Eye Color Blue Hair Color Brown Name Golden Age 33 Height 5 ' 5 " Weight 125 Breast size 36 C Eye Color Hazel Hair Color Blond We love to have fun and no discrimination here . ( 910 ) 234 - 7445 . <a href="/more.php?article=142"> 	WyJOYW1lIiwgIkJlbGxhIiwgIkFnZSIsICIyMyIsICJIZWlnaHQiLCAiNSIsICInIiwgIjYiLCAiXCIiLCAiV2VpZ2h0IiwgIjEyMCIsICJCcmVhc3QiLCAiU2l6ZSIsICIzNCIsICJDIiwgIkV5ZSIsICJDb2xvciIsICJCbHVlIiwgIkhhaXIiLCAiQ29sb3IiLCAiQnJvd24iLCAiTmFtZSIsICJHb2xkZW4iLCAiQWdlIiwgIjMzIiwgIkhlaWdodCIsICI1IiwgIiciLCAiNSIsICJcIiIsICJXZWlnaHQiLCAiMTI1IiwgIkJyZWFzdCIsICJzaXplIiwgIjM2IiwgIkMiLCAiRXllIiwgIkNvbG9yIiwgIkhhemVsIiwgIkhhaXIiLCAiQ29sb3IiLCAiQmxvbmQiLCAiV2UiLCAibG92ZSIsICJ0byIsICJoYXZlIiwgImZ1biIsICJhbmQiLCAibm8iLCAiZGlzY3JpbWluYXRpb24iLCAiaGVyZSIsICIuIiwgIigiLCAiOTEwIiwgIikiLCAiMjM0IiwgIi0iLCAiNzQ0NSIsICIuIiwgIiZsdDthIGhyZWY9XCIvbW9yZS5waHA/YXJ0aWNsZT0xNDJcIiZndDsiXQ==	39
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/D7F0F4464A7E15B47F838B9B1C47C582473C09C2	183	Blond	Hair type	 Name Bella Age 23 Height 5 ' 6 " Weight 120 Breast Size 34 C Eye Color Blue Hair Color Brown Name Golden Age 33 Height 5 ' 5 " Weight 125 Breast size 36 C Eye Color Hazel Hair Color Blond We love to have fun and no discrimination here . ( 910 ) 234 - 7445 . <a href="/more.php?article=142"> 	WyJOYW1lIiwgIkJlbGxhIiwgIkFnZSIsICIyMyIsICJIZWlnaHQiLCAiNSIsICInIiwgIjYiLCAiXCIiLCAiV2VpZ2h0IiwgIjEyMCIsICJCcmVhc3QiLCAiU2l6ZSIsICIzNCIsICJDIiwgIkV5ZSIsICJDb2xvciIsICJCbHVlIiwgIkhhaXIiLCAiQ29sb3IiLCAiQnJvd24iLCAiTmFtZSIsICJHb2xkZW4iLCAiQWdlIiwgIjMzIiwgIkhlaWdodCIsICI1IiwgIiciLCAiNSIsICJcIiIsICJXZWlnaHQiLCAiMTI1IiwgIkJyZWFzdCIsICJzaXplIiwgIjM2IiwgIkMiLCAiRXllIiwgIkNvbG9yIiwgIkhhemVsIiwgIkhhaXIiLCAiQ29sb3IiLCAiQmxvbmQiLCAiV2UiLCAibG92ZSIsICJ0byIsICJoYXZlIiwgImZ1biIsICJhbmQiLCAibm8iLCAiZGlzY3JpbWluYXRpb24iLCAiaGVyZSIsICIuIiwgIigiLCAiOTEwIiwgIikiLCAiMjM0IiwgIi0iLCAiNzQ0NSIsICIuIiwgIiZsdDthIGhyZWY9XCIvbW9yZS5waHA/YXJ0aWNsZT0xNDJcIiZndDsiXQ==	42
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/46C265C90C2B30593EC4E0EFE0EDCF435295F302	43	long brown	Hair type	 Hello gentleman . My name Aubrey . I am a long brown hair blue eye , thick hips slim waist . Just perfect for u . I ' m great at making u feel nice and comfortable and leave u with a smile everytime . Remember I ' ll only b there for a day or two so book the 	WyJIZWxsbyIsICJnZW50bGVtYW4iLCAiLiIsICJNeSIsICJuYW1lIiwgIkF1YnJleSIsICIuIiwgIkkiLCAiYW0iLCAiYSIsICJsb25nIiwgImJyb3duIiwgImhhaXIiLCAiYmx1ZSIsICJleWUiLCAiLCIsICJ0aGljayIsICJoaXBzIiwgInNsaW0iLCAid2Fpc3QiLCAiLiIsICJKdXN0IiwgInBlcmZlY3QiLCAiZm9yIiwgInUiLCAiLiIsICJJIiwgIiciLCAibSIsICJncmVhdCIsICJhdCIsICJtYWtpbmciLCAidSIsICJmZWVsIiwgIm5pY2UiLCAiYW5kIiwgImNvbWZvcnRhYmxlIiwgImFuZCIsICJsZWF2ZSIsICJ1IiwgIndpdGgiLCAiYSIsICJzbWlsZSIsICJldmVyeXRpbWUiLCAiLiIsICJSZW1lbWJlciIsICJJIiwgIiciLCAibGwiLCAib25seSIsICJiIiwgInRoZXJlIiwgImZvciIsICJhIiwgImRheSIsICJvciIsICJ0d28iLCAic28iLCAiYm9vayIsICJ0aGUiXQ==	11,,12
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/46C265C90C2B30593EC4E0EFE0EDCF435295F302	59	blue	Eye color	 Hello gentleman . My name Aubrey . I am a long brown hair blue eye , thick hips slim waist . Just perfect for u . I ' m great at making u feel nice and comfortable and leave u with a smile everytime . Remember I ' ll only b there for a day or two so book the 	WyJIZWxsbyIsICJnZW50bGVtYW4iLCAiLiIsICJNeSIsICJuYW1lIiwgIkF1YnJleSIsICIuIiwgIkkiLCAiYW0iLCAiYSIsICJsb25nIiwgImJyb3duIiwgImhhaXIiLCAiYmx1ZSIsICJleWUiLCAiLCIsICJ0aGljayIsICJoaXBzIiwgInNsaW0iLCAid2Fpc3QiLCAiLiIsICJKdXN0IiwgInBlcmZlY3QiLCAiZm9yIiwgInUiLCAiLiIsICJJIiwgIiciLCAibSIsICJncmVhdCIsICJhdCIsICJtYWtpbmciLCAidSIsICJmZWVsIiwgIm5pY2UiLCAiYW5kIiwgImNvbWZvcnRhYmxlIiwgImFuZCIsICJsZWF2ZSIsICJ1IiwgIndpdGgiLCAiYSIsICJzbWlsZSIsICJldmVyeXRpbWUiLCAiLiIsICJSZW1lbWJlciIsICJJIiwgIiciLCAibGwiLCAib25seSIsICJiIiwgInRoZXJlIiwgImZvciIsICJhIiwgImRheSIsICJvciIsICJ0d28iLCAic28iLCAiYm9vayIsICJ0aGUiXQ==	14
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/C80E611544F03E647808C797971090AB2784F26D	82	brunette	Hair type	 &gt; &gt; &gt; &gt; &gt; Chloe &lt; &lt; &lt; &lt; &lt; <br> <br> Tall and curvy brunette available now ! <br> <br> <br> <br> All natural Beauty ~ ! <br> <br> CURVES IN ALL THE RIGHT PLACES . <br> <br> Long Chestnut Brown Hair . <br> <br> and <br> <br> Stunning Green Eyes . <br> <br> 34DD - 24 - 	WyImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICJDaGxvZSIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiVGFsbCIsICJhbmQiLCAiY3VydnkiLCAiYnJ1bmV0dGUiLCAiYXZhaWxhYmxlIiwgIm5vdyIsICIhIiwgIiZsdDticiZndDsiLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiQWxsIiwgIm5hdHVyYWwiLCAiQmVhdXR5IiwgIn4iLCAiISIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiQ1VSVkVTIiwgIklOIiwgIkFMTCIsICJUSEUiLCAiUklHSFQiLCAiUExBQ0VTIiwgIi4iLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIkxvbmciLCAiQ2hlc3RudXQiLCAiQnJvd24iLCAiSGFpciIsICIuIiwgIiZsdDticiZndDsiLCAiJmx0O2JyJmd0OyIsICJhbmQiLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIlN0dW5uaW5nIiwgIkdyZWVuIiwgIkV5ZXMiLCAiLiIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiMzRERCIsICItIiwgIjI0IiwgIi0iXQ==	17
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/C80E611544F03E647808C797971090AB2784F26D	203	Long Chestnut Brown 	Hair type	 &gt; &gt; &gt; &gt; &gt; Chloe &lt; &lt; &lt; &lt; &lt; <br> <br> Tall and curvy brunette available now ! <br> <br> <br> <br> All natural Beauty ~ ! <br> <br> CURVES IN ALL THE RIGHT PLACES . <br> <br> Long Chestnut Brown Hair . <br> <br> and <br> <br> Stunning Green Eyes . <br> <br> 34DD - 24 - 	WyImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICJDaGxvZSIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiVGFsbCIsICJhbmQiLCAiY3VydnkiLCAiYnJ1bmV0dGUiLCAiYXZhaWxhYmxlIiwgIm5vdyIsICIhIiwgIiZsdDticiZndDsiLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiQWxsIiwgIm5hdHVyYWwiLCAiQmVhdXR5IiwgIn4iLCAiISIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiQ1VSVkVTIiwgIklOIiwgIkFMTCIsICJUSEUiLCAiUklHSFQiLCAiUExBQ0VTIiwgIi4iLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIkxvbmciLCAiQ2hlc3RudXQiLCAiQnJvd24iLCAiSGFpciIsICIuIiwgIiZsdDticiZndDsiLCAiJmx0O2JyJmd0OyIsICJhbmQiLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIlN0dW5uaW5nIiwgIkdyZWVuIiwgIkV5ZXMiLCAiLiIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiMzRERCIsICItIiwgIjI0IiwgIi0iXQ==	41,,42,,43,
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/C80E611544F03E647808C797971090AB2784F26D	254	Stunning Green 	Eye color	 &gt; &gt; &gt; &gt; &gt; Chloe &lt; &lt; &lt; &lt; &lt; <br> <br> Tall and curvy brunette available now ! <br> <br> <br> <br> All natural Beauty ~ ! <br> <br> CURVES IN ALL THE RIGHT PLACES . <br> <br> Long Chestnut Brown Hair . <br> <br> and <br> <br> Stunning Green Eyes . <br> <br> 34DD - 24 - 	WyImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICJDaGxvZSIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiVGFsbCIsICJhbmQiLCAiY3VydnkiLCAiYnJ1bmV0dGUiLCAiYXZhaWxhYmxlIiwgIm5vdyIsICIhIiwgIiZsdDticiZndDsiLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiQWxsIiwgIm5hdHVyYWwiLCAiQmVhdXR5IiwgIn4iLCAiISIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiQ1VSVkVTIiwgIklOIiwgIkFMTCIsICJUSEUiLCAiUklHSFQiLCAiUExBQ0VTIiwgIi4iLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIkxvbmciLCAiQ2hlc3RudXQiLCAiQnJvd24iLCAiSGFpciIsICIuIiwgIiZsdDticiZndDsiLCAiJmx0O2JyJmd0OyIsICJhbmQiLCAiJmx0O2JyJmd0OyIsICImbHQ7YnImZ3Q7IiwgIlN0dW5uaW5nIiwgIkdyZWVuIiwgIkV5ZXMiLCAiLiIsICImbHQ7YnImZ3Q7IiwgIiZsdDticiZndDsiLCAiMzRERCIsICItIiwgIjI0IiwgIi0iXQ==	51,,52,
31KPKEKW4ARZTT8FE37PFI1IRBXB0Z	A6LILYEG29KD0	3DEL4X4EL7Z6PB5VH9FHLRHE3NAYXO	http://dig.isi.edu/sentence/E444DD57C5262681F6556478AEFE6F3D092C82C5	72	brunette	Hair type	 &gt; &gt; &gt; &gt; &gt; Chloe &lt; &lt; &lt; &lt; &lt; Tall and curvy brunette available now . All natural Beauty ~ . CURVES IN ALL THE RIGHT PLACES . Long Chestnut Brown Hair . and Stunning Green Eyes . 34DD - 24 - 36 build TALL Slender Figure 5 ' 7 120lbs 216 - 961 - 5663 no text 	WyImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICImYW1wO2d0OyIsICJDaGxvZSIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICImYW1wO2x0OyIsICJUYWxsIiwgImFuZCIsICJjdXJ2eSIsICJicnVuZXR0ZSIsICJhdmFpbGFibGUiLCAibm93IiwgIi4iLCAiQWxsIiwgIm5hdHVyYWwiLCAiQmVhdXR5IiwgIn4iLCAiLiIsICJDVVJWRVMiLCAiSU4iLCAiQUxMIiwgIlRIRSIsICJSSUdIVCIsICJQTEFDRVMiLCAiLiIsICJMb25nIiwgIkNoZXN0bnV0IiwgIkJyb3duIiwgIkhhaXIiLCAiLiIsICJhbmQiLCAiU3R1bm5pbmciLCAiR3JlZW4iLCAiRXllcyIsICIuIiwgIjM0REQiLCAiLSIsICIyNCIsICItIiwgIjM2IiwgImJ1aWxkIiwgIlRBTEwiLCAiU2xlbmRlciIsICJGaWd1cmUiLCAiNSIsICInIiwgIjciLCAiMTIwbGJzIiwgIjIxNiIsICItIiwgIjk2MSIsICItIiwgIjU2NjMiLCAibm8iLCAidGV4dCJd	15
